source,participant,date,OS,frameRate,rt,corr,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,500,1,164,WORD,UN,16,invest,MARKET
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,807,1,258,NW,ID,16,poluth,POLUTH
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,778,1,278,NW,ID,16,unighs,UNIGHS
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,673,1,115,WORD,UN,33,tumble,GUITAR
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,729,1,434,NW,ID,33,pitrom,PITROM
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,569,1,220,WORD,ID,33,voyage,VOYAGE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,634,1,388,NW,UN,16,witmer,CRAGIN
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,716,1,341,NW,UN,33,randow,MYRTIE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,599,1,41,WORD,ID,16,spring,SPRING
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,563,1,376,NW,UN,16,veigma,IGUARE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,748,1,218,WORD,ID,33,shrink,SHRINK
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,897,1,425,NW,ID,33,frudge,FRUDGE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,603,1,95,WORD,UN,33,ignore,THREAD
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,624,1,350,NW,UN,33,tiesch,NAGURS
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,805,1,402,NW,UN,16,bruats,SYNTIC
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,672,1,108,WORD,UN,33,wonder,RECKON
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,540,1,88,WORD,UN,33,permit,HUNGER
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,540,1,215,WORD,ID,33,phobia,PHOBIA
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,582,1,308,NW,UN,33,amiloy,PSETCH
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,596,1,38,WORD,ID,16,powder,POWDER
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,536,1,209,WORD,ID,33,search,SEARCH
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,582,1,232,WORD,ID,33,inject,INJECT
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,534,1,153,WORD,UN,16,author,BEHOLD
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,520,1,180,WORD,UN,16,thrive,SILENT
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,556,1,58,WORD,ID,16,foster,FOSTER
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,1020.9999999999999,1,160,WORD,UN,16,pastor,VIOLET
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,616,1,63,WORD,UN,33,throne,LAUNCH
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,638,1,257,NW,ID,16,veniod,VENIOD
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,873,1,413,NW,UN,16,serbol,EQUATS
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,574,1,470,NW,ID,33,crudio,CRUDIO
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,696,1,279,NW,ID,16,celond,CELOND
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,577,1,233,WORD,ID,33,nature,NATURE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,792,0,230,WORD,ID,33,fringe,FRINGE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,1034,1,309,NW,UN,33,daniet,AMILOY
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,536,0,219,WORD,ID,33,bucket,BUCKET
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,736,1,417,NW,UN,16,suidle,EAROUD
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,728,1,277,NW,ID,16,petain,PETAIN
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,680,1,464,NW,ID,33,chaite,CHAITE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,602,1,158,WORD,UN,16,detail,ISLAND
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,645,1,430,NW,ID,33,caroey,CAROEY
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,793,1,139,WORD,UN,16,prince,DEBRIS
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,555,1,17,WORD,ID,16,charge,CHARGE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,479,1,109,WORD,UN,33,polite,WONDER
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,529,1,148,WORD,UN,16,invade,CUSTOM
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,522,1,188,WORD,ID,33,social,SOCIAL
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,703,1,9,WORD,ID,16,hustle,HUSTLE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,742,1,16,WORD,ID,16,faucet,FAUCET
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,742,1,377,NW,UN,16,shrile,INJORE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,646,1,190,WORD,ID,33,backup,BACKUP
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,619,1,163,WORD,UN,16,market,STRING
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,902,1,335,NW,UN,33,ghodus,DESION
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,547,1,137,WORD,UN,16,melody,FINGER
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,616,1,328,NW,UN,33,yarike,BROAKE
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,639,1,465,NW,ID,33,whivex,WHIVEX
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,674,1,401,NW,UN,16,syntic,MUSTIL
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,604,1,189,WORD,ID,33,censor,CENSOR
./data/5ad20ccab438910001ac9b03_lexical_decision_task_MP_exp2_2020-11-25_16h33.57.791.csv,5ad20ccab438910001ac9b03,2020-11-25_16h33.57.791,Win32,60,660,1,428,NW,ID,33,tandly,TANDLY
