counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran
0,,-0.03960396,-0.410891089,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.03630363,-0.410891089,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.03630363,-0.410891089,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.03630363,-0.410891089,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.376237624,-0.354785479,1,0,0,0.164,button_left,0.164,1,0,0,0,15,1,1016,NW,UN,16,mushed,WHAISE,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.402640264,-0.331683168,1,0,0,0.197,button_left,0.197,1,0,1,1,11,1,1012,NW,"ID",16,rashet,RASHET,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.402640264,-0.331683168,1,0,0,0.182,button_left,0.182,1,0,2,2,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.402640264,-0.331683168,1,0,0,0.114,button_left,0.114,0,0,3,3,3,1,1004,WORD,"ID",16,matrix,MATRIX,m,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.402640264,-0.331683168,1,0,0,0.132,button_left,0.132,0,0,4,4,7,1,1008,WORD,UN,16,hurdle,VOLUME,m,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.402640264,-0.331683168,1,0,0,0.181,button_left,0.181,1,0,5,5,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.402640264,-0.331683168,1,0,0,0.513,button_left,0.513,1,0,6,6,14,1,1015,NW,UN,16,miaber,THRALE,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.372937294,-0.301980198,1,0,0,0.349,button_left,0.349,1,0,7,7,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.349834983,-0.278877888,1,0,0,0.098,button_left,0.098,1,0,8,8,10,1,1011,NW,"ID",16,inlade,INLADE,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.349834983,-0.278877888,1,0,0,0.182,button_left,0.182,0,0,9,9,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.349834983,-0.278877888,1,0,0,0.215,button_left,0.215,0,0,10,10,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.372937294,-0.301980198,1,0,0,0.447,button_left,0.447,1,0,11,11,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.372937294,-0.301980198,1,0,0,0.014,button_left,0.014,0,0,12,12,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.372937294,-0.301980198,1,0,0,0.165,button_left,0.165,0,0,13,13,2,1,1003,WORD,"ID",16,almond,ALMOND,m,,,,,
,,,,,,,,,,,,,,,,,,999,2020-11-26_11h32.21.504,lexical_decision_task_MP_exp2,2020.2.5,Win32,60,,0,-0.372937294,-0.301980198,1,0,0,0.148,button_left,0.148,0,0,14,14,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,
