counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
0,,0.026234568,-0.419444444,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.012345679,-0.412962963,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.012345679,-0.412962963,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.012345679,-0.412962963,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,0,0,9,1,1010,NW,"ID",33,fariny,FARINY,z
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,1,1,1,1,1002,WORD,"ID",33,adjust,ADJUST,m
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,2,2,12,1,1013,NW,UN,33,adveil,SPRINY,z
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,3,3,2,1,1003,WORD,"ID",16,almond,ALMOND,m
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,4,4,3,1,1004,WORD,"ID",16,matrix,MATRIX,m
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,5,5,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,6,6,13,1,1014,NW,UN,33,winfer,ROUPET,z
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,0.479012346,0.121296296,1,0,0,1.902595,,,-1,0,7,7,6,1,1007,WORD,UN,16,tropic,ZOMBIE,m
,,,,,,,,,,,,,,,,,,999,2020-12-02_22h22.50.829,lexical_decision_task_MP_exp2,2020.2.8,Win32,60,,0,,,,,,,,,-1,0,8,8,15,1,1016,NW,UN,16,mushed,WHAISE,z
