counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
0,,0.005555556,-0.350925926,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,0.022222222,-0.362962963,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.064814815,-0.410185185,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,-0.065740741,-0.410185185,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.291666667,-0.387962963,1,0,0,0.532,button_right,0.532,0,0,0,0,3,1,1004,WORD,"ID",50,matrix,MATRIX,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.298148148,-0.35462963,1,0,0,0.522,button_right,0.522,0,0,1,1,4,1,1005,WORD,UN,33,abound,SQUEAK,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.298148148,-0.35462963,1,0,0,0.365,button_right,0.365,0,0,2,2,9,1,1010,NW,"ID",33,fariny,FARINY,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.298148148,-0.35462963,1,0,0,0.348,button_right,0.348,0,0,3,3,11,1,1012,NW,"ID",50,rashet,RASHET,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.318518519,-0.32037037,1,0,0,0.314,button_right,0.314,0,0,4,4,8,1,1009,NW,"ID",33,aslert,ASLERT,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h29.30.171,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.312962963,-0.32037037,1,0,0,0.289,button_right,0.289,0,0,5,5,15,1,1016,NW,UN,50,mushed,WHAISE,z
