counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran
4,,0.026851852,-0.401851852,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.019444444,-0.400925926,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.019444444,-0.400925926,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.018518519,-0.400925926,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.409259259,-0.27037037,1,0,0,0.014305,button_left,0.014305,0,0,0,0,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.478703704,-0.299074074,1,0,0,0.38132,button_left,0.38132,1,0,1,1,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.539814815,-0.278703704,1,0,0,0.465655,button_left,0.465655,0,0,2,2,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.238888889,-0.221296296,1,0,0,0.7152,button_right,0.7152,0,0,3,3,9,1,1010,NW,"ID",33,fariny,FARINY,z,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4,-0.266666667,1,0,0,0.79854,button_right,0.79854,1,0,4,4,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.309259259,-0.237962963,1,0,0,0.68221,button_right,0.68221,1,0,5,5,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.196296296,-0.262962963,1,0,0,0.29892,button_left,0.29892,0,0,6,6,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.544444444,-0.319444444,1,0,0,0.76531,button_left,0.76531,0,0,7,7,7,1,1008,WORD,UN,50,hurdle,VOLUME,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.361111111,-0.30462963,1,0,0,0.14932,button_left,0.14932,1,0,8,8,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.331481481,-0.309259259,1,0,0,0.63269,button_left,0.63269,1,0,9,9,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.319444444,-0.301851852,1,0,0,0.249015,button_left,0.249015,0,0,10,10,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.331481481,-0.298148148,1,0,0,0.38218,button_right,0.38218,1,0,11,11,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.291666667,-0.307407407,1,0,0,0.182715,button_right,0.182715,0,0,12,12,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.291666667,-0.307407407,1,0,0,0.1988,button_right,0.1988,0,0,13,13,11,1,1012,NW,"ID",50,rashet,RASHET,z,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.489814815,-0.298148148,1,0,0,0.03139,button_left,0.03139,1,0,14,14,14,1,1015,NW,UN,50,miaber,THRALE,z,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.174074074,-0.302777778,1,0,0,0.3642,,0.03139,-1,0,15,15,15,1,1016,NW,UN,50,mushed,WHAISE,z,,,,,
,,-0.146296296,-0.425925926,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,5f0c8009958a65612e4e176a,2020-08-06_22h55.52.401,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
