counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
1,,0.009259259,-0.388888889,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00462963,-0.388888889,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.00462963,-0.388888889,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.002777778,-0.388888889,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.5,-0.25,1,0,0,0.10499,button_left,0.10499,0,0,0,0,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.425,-0.27962963,1,0,0,0.899025,button_left,0.899025,1,0,1,1,10,1,1011,NW,"ID",50,inlade,INLADE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.317592593,-0.241666667,1,0,0,1.03128,button_left,1.03128,0,0,2,2,7,1,1008,WORD,UN,50,hurdle,VOLUME,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.323148148,-0.241666667,1,0,0,0.114145,button_left,0.114145,0,0,3,3,6,1,1007,WORD,UN,50,tropic,ZOMBIE,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.323148148,-0.241666667,1,0,0,0.54643,button_left,0.54643,0,0,4,4,3,1,1004,WORD,"ID",50,matrix,MATRIX,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.323148148,-0.241666667,1,0,0,0.56938,button_left,0.56938,1,0,5,5,13,1,1014,NW,UN,33,winfer,ROUPET,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.325,-0.242592593,1,0,0,0.093755,button_left,0.093755,0,0,6,6,2,1,1003,WORD,"ID",50,almond,ALMOND,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.271296296,1,0,0,0.07991,button_left,0.07991,1,0,7,7,12,1,1013,NW,UN,33,adveil,SPRINY,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.272222222,1,0,0,0.17426,button_left,0.17426,0,0,8,8,1,1,1002,WORD,"ID",33,adjust,ADJUST,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.272222222,1,0,0,0.634195,button_left,0.634195,1,0,9,9,8,1,1009,NW,"ID",33,aslert,ASLERT,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.272222222,1,0,0,0.283705,button_left,0.283705,0,0,10,10,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.272222222,1,0,0,0.283645,button_left,0.283645,1,0,11,11,11,1,1012,NW,"ID",50,rashet,RASHET,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.272222222,1,0,0,0.26597,button_left,0.26597,0,0,12,12,4,1,1005,WORD,UN,33,abound,SQUEAK,m,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.272222222,1,0,0,0.314205,button_left,0.314205,1,0,13,13,14,1,1015,NW,UN,50,miaber,THRALE,z,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-06_22h58.46.951,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.355555556,-0.272222222,1,0,0,0.266865,button_left,0.266865,1,0,14,14,15,1,1016,NW,UN,50,mushed,WHAISE,z,,,,,,,,,,,,,,,,
