counterbalancing_condition,instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
2,,0.033333333,-0.430555556,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,0.02037037,-0.408333333,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,0.016666667,-0.401851852,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.021296296,-0.389814815,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,m,0,1.034,,,,,,,,1.034,0,0,0,0,15,1,1016,NW,UN,50,mushed,WHAISE,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,1.034,-1,0,1,1,0,1,1001,WORD,"ID",33,utopia,UTOPIA,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,1.354,,,,,,,,1.354,1,0,2,2,2,1,1003,WORD,"ID",50,almond,ALMOND,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,m,1,0.516,,,,,,,,0.516,1,0,3,3,5,1,1006,WORD,UN,33,frenzy,OBTAIN,m
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,z,1,1.282,,,,,,,,1.282,1,0,4,4,13,1,1014,NW,UN,33,winfer,ROUPET,z
,,,,,,,,,,,,,,,,,,5f0c8009958a65612e4e176a,2020-08-08_10h17.23.580,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,-0.355555556,-0.338888889,1,0,0,0.383,button_left,0.383,0,0,5,5,7,1,1008,WORD,UN,50,hurdle,VOLUME,m
