instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
,0.019907491,-0.404629713,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"In this task you will judge whether a string of letters forms a word or not (i.e., is a nonword). Look at the cross at the start of each trial. After a second, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or click the button below to continue.",999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,0.025463047,-0.392592619,1,0,0,instr_done_button,0,1,1,1,1,2,instructions," If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. 

Press the space bar or click the button below to continue.",999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,-0.024074048,-0.39120373,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.296296332,-0.314814839,1,0,0,1.331105,button_right,1.331105,0,0,0,0,15,1,1016,NW,UN,50,mushed,WHAISE,a
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.362037021,-0.249074153,1,0,0,1.50913,button_left,1.50913,1,0,1,1,12,1,1013,NW,UN,33,adveil,SPRINY,a
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.306018554,-0.289814838,1,0,0,0.808035,button_right,0.808035,1,0,2,2,7,1,1008,WORD,UN,50,hurdle,VOLUME,l
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.388888927,-0.282407487,1,0,0,1.143855,button_right,1.143855,1,0,3,3,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.393518557,-0.278703727,1,0,0,0.737595,button_right,0.737595,1,0,4,4,2,1,1003,WORD,"ID",50,almond,ALMOND,l
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.318518555,-0.301851932,1,0,0,0.91563,button_right,0.91563,1,0,5,5,4,1,1005,WORD,UN,33,abound,SQUEAK,l
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.40185189,-0.309259283,1,0,0,1.97284,button_right,1.97284,1,0,6,6,3,1,1004,WORD,"ID",50,matrix,MATRIX,l
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.34583337,-0.296296377,1,0,0,0.58125,button_right,0.58125,1,0,7,7,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.421296268,-0.3125,1,0,0,0.477235,button_left,0.477235,1,0,8,8,13,1,1014,NW,UN,33,winfer,ROUPET,a
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.364351824,-0.312963019,1,0,0,0.624355,button_left,0.624355,1,0,9,9,9,1,1010,NW,"ID",33,fariny,FARINY,a
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.262963019,-0.246296353,1,0,0,0.78407,button_right,0.78407,1,0,10,10,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l
,,,,,,,,,,,,,,,999,2020-07-22_12h47.29.740,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.327777778,-0.315277778,1,0,0,1.11056,button_left,1.11056,1,0,11,11,14,1,1015,NW,UN,50,miaber,THRALE,a
