instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,response.rt,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,-0.015740741,-0.387962963,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or click the button below to continue.",999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.015740741,-0.387962963,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. 

Press the space bar or click the button below to continue.",999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.015740741,-0.387962963,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.989115,,,,,,,,0.989115,1,0,0,0,2,1,1003,WORD,"ID",50,almond,ALMOND,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.33498,,,,,,,,0.33498,0,0,1,1,8,1,1009,NW,"ID",33,aslert,ASLERT,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,1.037165,,,,,,,,1.037165,0,0,2,2,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.262605,,,,,,,,0.262605,1,0,3,3,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.441645,,,,,,,,0.441645,1,0,4,4,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.51736,,,,,,,,0.51736,1,0,5,5,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.63594,,,,,,,,0.63594,1,0,6,6,4,1,1005,WORD,UN,33,abound,SQUEAK,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.298955,,,,,,,,0.298955,0,0,7,7,12,1,1013,NW,UN,33,adveil,SPRINY,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.214895,,,,,,,,0.214895,0,0,8,8,15,1,1016,NW,UN,50,mushed,WHAISE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.271095,,,,,,,,0.271095,1,0,9,9,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,0.320435,,,,,,,,0.320435,1,0,10,10,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.307195,,,,,,,,0.307195,0,0,11,11,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.48482,,,,,,,,0.48482,0,0,12,12,10,1,1011,NW,"ID",50,inlade,INLADE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,0.48482,-1,0,13,13,13,1,1014,NW,UN,33,winfer,ROUPET,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.40037,,,,,,,,0.40037,0,0,14,14,14,1,1015,NW,UN,50,miaber,THRALE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h20.17.145,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,0.53957,,,,,,,,0.53957,0,0,15,15,9,1,1010,NW,"ID",33,fariny,FARINY,a,,,,,,,,,,,,,,,,,,
