instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,break_done_keyboard.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,-0.022222222,-0.417592593,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or click the button below to continue.",999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.034259259,-0.415740741,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. 

Press the space bar or click the button below to continue.",999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.031481481,-0.417592593,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.256481481,-0.330555556,1,0,0,0.652565,button_right,0.652565,0,0,0,0,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,,,,,,,,0.43894,1,0,1,1,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,0.43894,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.313115,0,0,2,2,15,1,1016,NW,UN,50,mushed,WHAISE,a,0.313115,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.37721,0,0,3,3,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,0.37721,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.38903,0,0,4,4,13,1,1014,NW,UN,33,winfer,ROUPET,a,0.38903,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,a,0,,,,,,,,0.336765,0,0,5,5,4,1,1005,WORD,UN,33,abound,SQUEAK,l,0.336765,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_13h42.26.549,lexical_decision_task_MP,2020.1.3,Win32,60,l,0,,,,,,,,0.312795,0,0,6,6,10,1,1011,NW,"ID",50,inlade,INLADE,a,0.312795,,,,,,,,,,,,,,,,,
