instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,response.rt,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_touch.clicked_name,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order
,0.007407407,-0.432407407,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or click the button below to continue.",999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.016666667,-0.418518519,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. 

Press the space bar or click the button below to continue.",999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.02037037,-0.417592593,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.342592593,-0.32962963,1,0,0,0.79964,button_right,0.79964,1,0,0,0,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.239814815,-0.241666667,1,0,0,1.12744,button_left,1.12744,1,0,1,1,15,1,1016,NW,UN,50,mushed,WHAISE,a,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.244444444,-0.309259259,1,0,0,0.341825,button_right,0.341825,0,0,2,2,8,1,1009,NW,"ID",33,aslert,ASLERT,a,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.356481481,-0.266666667,1,0,0,0.302625,button_left,0.302625,1,0,3,3,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.294444444,-0.323148148,1,0,0,0.832085,button_right,0.832085,1,0,4,4,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,,,,,,,,0.86627,1,0,5,5,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,0.86627,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h00.35.636,lexical_decision_task_MP,2020.1.3,Win32,60,l,1,,,,,,,,0.51632,1,0,6,6,4,1,1005,WORD,UN,33,abound,SQUEAK,l,0.51632,,,,,,,,,,,,,,,,,,
