instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_done_touch.clicked_name,trials.order
,0.10462963,-0.421296296,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or click the button below to continue.",999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.096296296,-0.416666667,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. 

Press the space bar or click the button below to continue.",999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.091666667,-0.416666667,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.223148148,-0.322222222,1,0,0,0.566515,button_right,0.566515,1,0,0,0,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.228703704,-0.319444444,1,0,0,0.219925,button_right,0.219925,1,0,1,1,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.219925,-1,0,2,2,8,1,1009,NW,"ID",33,aslert,ASLERT,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.219925,-1,0,3,3,13,1,1014,NW,UN,33,winfer,ROUPET,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.219925,-1,0,4,4,4,1,1005,WORD,UN,33,abound,SQUEAK,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.219925,-1,0,5,5,12,1,1013,NW,UN,33,adveil,SPRINY,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.219925,-1,0,6,6,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.219925,-1,0,7,7,15,1,1016,NW,UN,50,mushed,WHAISE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.463888889,-0.276851852,1,0,0,1.40441,button_right,1.40441,0,0,8,8,9,1,1010,NW,"ID",33,fariny,FARINY,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.436111111,-0.268518519,1,0,0,0.021605,button_right,0.021605,1,0,9,9,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.436111111,-0.268518519,1,0,0,0.20635,button_right,0.20635,1,0,10,10,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.436111111,-0.268518519,1,0,0,0.196315,button_right,0.196315,0,0,11,11,10,1,1011,NW,"ID",50,inlade,INLADE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.436111111,-0.268518519,1,0,0,0.153375,button_right,0.153375,0,0,12,12,14,1,1015,NW,UN,50,miaber,THRALE,a,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.436111111,-0.268518519,1,0,0,0.025855,button_right,0.025855,1,0,13,13,2,1,1003,WORD,"ID",50,almond,ALMOND,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.436111111,-0.268518519,1,0,0,0.219235,button_right,0.219235,1,0,14,14,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.436111111,-0.268518519,1,0,0,0.02439,button_right,0.02439,1,0,15,15,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,,,,,,,,,,,,,,,,,,
,-0.075925926,-0.396296296,1,0,0,instr_done_button,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,999,2020-07-22_14h07.36.535,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.249074074,-0.298148148,1,0,0,1.224835,button_right,1.224835,1,,,,,,224,WORD,UN,33,vulgar,PERIOD,l,,,,,,0.249074074,-0.298148148,1,0,0,,0,0,0,163,1,,
