instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
,-0.025925926,-0.37962963,1,0,0,instr_done_button,-0.057407407,-0.061111111,1,0,0,instruction_image,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",FFFFFF-0.png,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,-0.010185185,-0.386111111,1,0,0,instr_done_button,-0.009259259,-0.092592593,1,0,0,instruction_image,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'a' key for nonwords and the 'l' key for words. If your device does not have a keyboard, touch the left button on the screen for nonwords and the right button for words. Do not use the mouse as this will slow down your response. 

Press the space bar or touch the button below to continue.",FFFFFF-0.png,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,-0.02962963,-0.373148148,1,0,0,instr_done_button,-0.056481481,-0.049074074,1,0,0,instruction_image,0,2,2,2,1,3,instructions,Test,keyboard-example.gif,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,-0.025925926,-0.368518519,1,0,0,instr_done_button,-0.002777778,-0.087037037,1,0,0,instruction_image,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",FFFFFF-0.png,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,0,0,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,1,1,2,1,1003,WORD,"ID",50,almond,ALMOND,l
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,2,2,8,1,1009,NW,"ID",33,aslert,ASLERT,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,3,3,3,1,1004,WORD,"ID",50,matrix,MATRIX,l
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,4,4,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,5,5,9,1,1010,NW,"ID",33,fariny,FARINY,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,6,6,14,1,1015,NW,UN,50,miaber,THRALE,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,7,7,10,1,1011,NW,"ID",50,inlade,INLADE,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,8,8,15,1,1016,NW,UN,50,mushed,WHAISE,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,9,9,12,1,1013,NW,UN,33,adveil,SPRINY,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,10,10,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,11,11,7,1,1008,WORD,UN,50,hurdle,VOLUME,l
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,12,12,1,1,1002,WORD,"ID",33,adjust,ADJUST,l
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,13,13,11,1,1012,NW,"ID",50,rashet,RASHET,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,14,14,13,1,1014,NW,UN,33,winfer,ROUPET,a
,,,,,,,,,,,,,,,,,,,,,,999,2020-07-22_18h16.04.870,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,15,15,4,1,1005,WORD,UN,33,abound,SQUEAK,l
