instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,13.902375,0.016927083,-0.22265625,0,0,0,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,4.38679,0.016927083,-0.22265625,0,0,0,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,13.89244,0.016927083,-0.22265625,0,0,0,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse as this will slow down your response. 




Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
space,9.286315,0.016927083,-0.22265625,0,0,0,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,0,0,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,1,1,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,2,2,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,3,3,15,1,1016,NW,UN,50,mushed,WHAISE,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,,-1,0,4,4,4,1,1005,WORD,UN,33,abound,SQUEAK,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4256,-0.3176,1,0,0,1.013425,button_left,1.013425,1,0,5,5,9,1,1010,NW,"ID",33,fariny,FARINY,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2816,-0.2696,1,0,0,0.9814,button_left,0.9814,1,0,6,6,10,1,1011,NW,"ID",50,inlade,INLADE,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2816,-0.2696,1,0,0,0.89812,button_left,0.89812,1,0,7,7,12,1,1013,NW,UN,33,adveil,SPRINY,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2816,-0.2696,1,0,0,0.782305,button_left,0.782305,1,0,8,8,13,1,1014,NW,UN,33,winfer,ROUPET,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.264,-0.2792,1,0,0,1.11526,button_left,1.11526,1,0,9,9,8,1,1009,NW,"ID",33,aslert,ASLERT,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3152,-0.2696,1,0,0,0.68182,button_left,0.68182,0,0,10,10,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4608,-0.2712,1,0,0,1.09845,button_right,1.09845,1,0,11,11,2,1,1003,WORD,"ID",50,almond,ALMOND,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3408,-0.332,1,0,0,1.33166,button_left,1.33166,1,0,12,12,14,1,1015,NW,UN,50,miaber,THRALE,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4224,-0.3304,1,0,0,1.248365,button_right,1.248365,1,0,13,13,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3408,-0.2712,1,0,0,1.364565,button_right,1.364565,1,0,14,14,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.512,-0.292,1,0,0,1.03053,button_right,1.03053,1,0,15,15,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,,,,,,,,,,,,,,,,,
,,-0.072,-0.46,1,0,0,,,,,,1,end_of_practice,"You have completed the practice trials. During the experimental trials, you will not receive feedback, but it is very important that you respond as quickly and accurately as possible. 
Before you begin, please ensure that you are in a comfortable and quiet location and will not be disturbed for about 25 minutes, as we cannot use your data if you do not complete all the trials. 
There will be opportunities to take breaks at regular intervals during the experiment. When you are ready to start the experimental trials, please press space or touch the button below.",,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,instr_done_button,0,0,0,0,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4896,-0.3608,1,0,0,1.1136,button_left,1.1136,1,,,,,,396,NW,"ID",50,flengy,FLENGY,a,,,,,,,-0.4896,-0.3608,1,0,0,,0,0,0,335,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.384,-0.3032,1,0,0,0.93231,button_left,0.93231,1,,,,,,275,NW,UN,50,yarmon,SLEIRT,a,,,,,,,-0.384,-0.3032,1,0,0,,0,1,1,454,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4208,-0.2936,1,0,0,0.931135,button_left,0.931135,1,,,,,,480,NW,UN,33,knisma,ROBULY,a,,,,,,,-0.4208,-0.2936,1,0,0,,0,2,2,419,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4176,-0.2936,1,0,0,0.76471,button_left,0.76471,1,,,,,,476,NW,UN,33,photie,JOSTED,a,,,,,,,-0.4176,-0.2936,1,0,0,,0,3,3,415,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.4144,-0.2856,1,0,0,0.730955,button_left,0.730955,1,,,,,,447,NW,UN,33,sadent,GIRCUE,a,,,,,,,-0.4144,-0.2856,1,0,0,,0,4,4,386,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3072,-0.3704,1,0,0,1.014935,button_right,1.014935,1,,,,,,161,WORD,"ID",50,pastor,PASTOR,l,,,,,,,0.3072,-0.3704,1,0,0,,0,5,5,100,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3424,-0.3464,1,0,0,0.981415,button_right,0.981415,1,,,,,,60,WORD,UN,50,fright,PENCIL,l,,,,,,,0.3424,-0.3464,1,0,0,,0,6,6,239,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.416,-0.2952,1,0,0,0.981905,button_left,0.981905,1,,,,,,462,NW,UN,33,kispel,ABSULT,a,,,,,,,-0.416,-0.2952,1,0,0,,0,7,7,401,1
