instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,instr_done_keyboard.rt,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
,0.08203125,-0.365885417,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,
space,0.080729167,-0.369791667,0,0,0,,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,4.471165,,,,,,,,,,,,,,,,,,,,,,,
space,0.080729167,-0.369791667,0,0,0,,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse as this will slow down your response. 




Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,6.00785,,,,,,,,,,,,,,,,,,,,,,,
space,0.080729167,-0.369791667,0,0,0,,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,5.132105,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,,,,,,,,,-1,0,0,0,11,1,1012,NW,"ID",50,rashet,RASHET,a
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.372395833,-0.311197917,1,0,0,1.164555,button_right,1.164555,1,0,1,1,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,-0.408854167,-0.299479167,1,0,0,1.23216,button_left,1.23216,1,0,2,2,12,1,1013,NW,UN,33,adveil,SPRINY,a
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.036458333,-0.192708333,1,0,0,0.899115,button_left,0.899115,1,0,3,3,8,1,1009,NW,"ID",33,aslert,ASLERT,a
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.401041667,-0.286458333,1,0,0,0.997825,button_right,0.997825,1,0,4,4,2,1,1003,WORD,"ID",50,almond,ALMOND,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.334635417,-0.291666667,1,0,0,0.73266,button_right,0.73266,1,0,5,5,3,1,1004,WORD,"ID",50,matrix,MATRIX,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,-0.41796875,-0.302083333,1,0,0,1.23257,button_left,1.23257,1,0,6,6,15,1,1016,NW,UN,50,mushed,WHAISE,a
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,-0.322916667,-0.294270833,1,0,0,1.31642,button_left,1.31642,1,0,7,7,10,1,1011,NW,"ID",50,inlade,INLADE,a
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.41796875,-0.272135417,1,0,0,1.882005,button_right,1.882005,1,0,8,8,7,1,1008,WORD,UN,50,hurdle,VOLUME,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,-0.360677083,-0.33203125,1,0,0,1.08273,button_left,1.08273,1,0,9,9,14,1,1015,NW,UN,50,miaber,THRALE,a
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.3046875,-0.255208333,1,0,0,0.76613,button_right,0.76613,1,0,10,10,0,1,1001,WORD,"ID",33,utopia,UTOPIA,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,-0.462239583,-0.356770833,1,0,0,0.88234,button_left,0.88234,1,0,11,11,13,1,1014,NW,UN,33,winfer,ROUPET,a
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.440104167,-0.25390625,1,0,0,0.915525,button_right,0.915525,1,0,12,12,4,1,1005,WORD,UN,33,abound,SQUEAK,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.3515625,-0.296875,1,0,0,0.815595,button_right,0.815595,1,0,13,13,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,0.483072917,-0.25,1,0,0,0.732345,button_right,0.732345,1,0,14,14,1,1,1002,WORD,"ID",33,adjust,ADJUST,l
,,,,,,,,,,,,,,,,,999,2020-07-26_15h04.12.543,lexical_decision_task_MP,2020.1.3,Win32,60,,,0,-0.470052083,-0.333333333,1,0,0,1.098755,button_left,1.098755,1,0,15,15,9,1,1010,NW,"ID",33,fariny,FARINY,a
