instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns
,-0.050925926,-0.418518519,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,-0.058333333,-0.403703704,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,-0.059259259,-0.401851852,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,-0.059259259,-0.397222222,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.34537037,-0.316666667,1,0,0,1.588,button_left,1.588,0,0,0,0,3,1,1004,WORD,"ID",50,matrix,MATRIX,l
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.340740741,-0.314814815,1,0,0,0.8,button_left,0.8,0,0,1,1,1,1,1002,WORD,"ID",33,adjust,ADJUST,l
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.340740741,-0.314814815,1,0,0,1.713,button_left,1.713,1,0,2,2,9,1,1010,NW,"ID",33,fariny,FARINY,a
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.340740741,-0.314814815,1,0,0,0.249,button_left,0.249,0,0,3,3,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.340740741,-0.314814815,1,0,0,0.406,button_left,0.406,1,0,4,4,11,1,1012,NW,"ID",50,rashet,RASHET,a
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.340740741,-0.314814815,1,0,0,0.253,button_left,0.253,1,0,5,5,10,1,1011,NW,"ID",50,inlade,INLADE,a
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.340740741,-0.314814815,1,0,0,0.061,button_left,0.061,1,0,6,6,14,1,1015,NW,UN,50,miaber,THRALE,a
,,,,,,,,,,,,,,,,,999,2020-08-05_19h28.53.228,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.340740741,-0.314814815,1,0,0,0.523,button_left,0.523,0,0,7,7,2,1,1003,WORD,"ID",50,almond,ALMOND,l
