instr_done_keyboard.keys,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,response.rt,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,0.022222222,-0.396296296,1,0,0,instr_done_button,0,0,0,0,1,1,instructions,"INSTRUCTIONS
At the start of each trial, look at the hash marks (######) in the center of the screen. After a moment, a string of letters will appear. Your task is to indicate if the letter string forms a word or not (i.e., if it is a nonword). For example, AUTHOR is a word while AUTHON is a nonword.

Press the space bar or touch the button below to continue.",0,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.022222222,-0.396296296,1,0,0,instr_done_button,0,1,1,1,1,2,instructions,"If your device has a keyboard, press the 'Z' key for nonwords and the 'M' key for words.





Press the space bar or touch the button below to continue.",1,keyboard-example.gif,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.022222222,-0.396296296,1,0,0,instr_done_button,0,2,2,2,1,3,instructions,"If you are using a touchscreen only device, use the buttons on the screen. Do not use the mouse.





Press the space bar or touch the button below to continue.",1,touchscreen-example.gif,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.022222222,-0.396296296,1,0,0,instr_done_button,0,3,3,3,1,4,instructions,"It is very important that you respond as quickly and accurately as possible, as each letter string will only be on the screen for two seconds. If you do not respond within this time, the message 'Too slow!' will be displayed and the experiment will progress to the next letter string. The first 20 trials will be practice trials and you will receive feedback on your answers. 

Press the space bar or touch the button below to start the practice trials.",0,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.278703704,-0.255555556,1,0,0,0.512,button_left,0.512,1,0,0,0,14,1,1015,NW,UN,50,miaber,THRALE,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.278703704,-0.255555556,1,0,0,1.232,button_left,1.232,0,0,1,1,5,1,1006,WORD,UN,33,frenzy,OBTAIN,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.278703704,-0.255555556,1,0,0,0.219,button_left,0.219,0,0,2,2,6,1,1007,WORD,UN,50,tropic,ZOMBIE,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.219,-1,0,3,3,15,1,1016,NW,UN,50,mushed,WHAISE,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.258333333,-0.25,1,0,0,0.448,button_left,0.448,1,0,4,4,10,1,1011,NW,"ID",50,inlade,INLADE,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.25462963,-0.273148148,1,0,0,0.4,button_left,0.4,0,0,5,5,1,1,1002,WORD,"ID",33,adjust,ADJUST,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.25462963,-0.274074074,1,0,0,0.314,button_left,0.314,1,0,6,6,9,1,1010,NW,"ID",33,fariny,FARINY,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.259259259,-0.267592593,1,0,0,0.265,button_left,0.265,0,0,7,7,3,1,1004,WORD,"ID",50,matrix,MATRIX,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.259259259,-0.267592593,1,0,0,0.298,button_left,0.298,0,0,8,8,4,1,1005,WORD,UN,33,abound,SQUEAK,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.259259259,-0.267592593,1,0,0,0.222,button_left,0.222,1,0,9,9,12,1,1013,NW,UN,33,adveil,SPRINY,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.259259259,-0.267592593,1,0,0,0.207,button_left,0.207,1,0,10,10,13,1,1014,NW,UN,33,winfer,ROUPET,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.262037037,-0.269444444,1,0,0,0.049,button_left,0.049,0,0,11,11,2,1,1003,WORD,"ID",50,almond,ALMOND,l,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.226851852,-0.291666667,1,0,0,0.098,button_right,0.098,0,0,12,12,11,1,1012,NW,"ID",50,rashet,RASHET,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.098,-1,0,13,13,8,1,1009,NW,"ID",33,aslert,ASLERT,a,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,999,2020-08-05_19h33.27.937,lexical_decision_task_MP,2020.1.3,Win32,60,,0,,,,,,,,0.098,-1,0,14,14,7,1,1008,WORD,UN,50,hurdle,VOLUME,l,,,,,,,,,,,,,,,,,
